JHHS-4500030030-172-Legal-Deni|4500030030,4500030172|Cost Center
JHHS CustSrvc|4500030040,4500030050,4500030060,4500030105,4500030170|Cost Center
JHHS CustSrvc|4500030040,4500030050,4500030060,4500030105,4500030170|Cost Center
JHHS CustSrvc|4500030040,4500030050,4500030060,4500030105,4500030170|Cost Center
JHHS-MGR-00308090|4500030040,4500030050,4500030105,4500030106,4500030170,4500170020,6406210000,6406215000,6406250000,6406310000,6406315000,6406350000|Cost Center
JHHS-4500030050,105,170|4500030050,4500030105,4500030170|Cost Center
JHHR-MGR-OMCCLAR1|4500030050,4500170170,4803610480,4803610484,5550000100,5550000500,5550000510,5550000520,5550000530,5550000540,5550000550,5550000560|Cost Center
JHHS-4500030060,105,170|4500030060,4500030105,4500030170|Cost Center
JHHS-S3D,S3F,S3G,SFL,S39|4500030080,4500030090,4500030095,4500030105,4500030107,4500030110,4500030175,4500030176,4500310308|Cost Center
JHHS-DIR-REVENUE-PLUS|4500030080,4500030090,4500030095,4500030105,4500030107,4500030110,4500030175,4500030176,6406215000,6500002400,6500002402,6500002409,6500002411,6500002716|Cost Center
JHHS-DIR-REVENUE|4500030080,4500030095,4500030105,4500030107,4500030110,4500030175,4500030176|Cost Center
JHHS-4500030105,30,40,73,74,77|4500030105,4500030130,4500030140,4500030173,4500030174,4500030177|Cost Center
JHHS-S3G,SFL|4500030105,4500030175,4500030176|Cost Center
JHHS-4500170020,4500030106|4500030106,4500170020|Cost Center
JHHS-4500170020,4500030106|4500030106,4500170020|Cost Center
JHHS-4500030110,69,79|4500030110,4500030169,4500030179|Cost Center
JHHS-60012903-JHH OR Adm|4500030110,4500030179|Cost Center
JHHS-S3J-SpecHospProg|4500030130,4500030160|Cost Center
JHHS-SFK-BehavBill-BillCollect|4500030130,4500030173,4500150015|Cost Center
JHHS-4500030169,79|4500030169,4500030179|Cost Center
JHHS-4500030169,79|4500030169,4500030179|Cost Center
JHHS-MGR-00333907|4500030169,4500030179,4804217601|Cost Center
JHHS-MGR-00087144|4500030169,4801336974,4801357474,4801410308|Cost Center
JHHS-Controllers Office|4500030180,4500030181,4500030185,4500030230,4500030290,4500030420,4500030450|Cost Center
JHHS-Controllers Office|4500030180,4500030181,4500030185,4500030230,4500030290,4500030420,4500030450|Cost Center
JHH-JHHS-JD1-6,JS1-2,S34-37|4500030180,4500030181,4500030185,4500030230,4500030290,4500030420,4500030450,4500150050,4500150058,4500150080,4500150087,4500150089,4500150102,4500150110,4500150126,4500150140,4500150145,4500150147,4500150188,4500210301,4500210302,4500210304,4500210308,4500210310,4500210311,4500210312,4500210313,4500210314,4500210315,4500210316,4500210317,4500210322,4500210400,4500210401,4500210402,4500210403,5850020000,5850020010,5850020020,5850020040,5850020050,5850020060,5850020070,5850020090,5850022000,5850022001,5850022006,5850022100,5870010045,5870010055,5870010075,5870010090,5870010130,5870010145|Cost Center
JHHS-MGR-00031395|4500030185,4500030251,4500030260,4500030265,4500030270,4500030290,4500150116,4500150260|Cost Center
JHHS-MGR-00303311|4500030185,4500030251,4500030260,4500030265,4500030290,4500040020,4500040022,4500150018,4500150260,4800010029|Cost Center
JHHS-10001686-JHMBudget|4500030185,4500030251,4500030290,4500150260,4800010029|Cost Center
JHHS-MGR-00145834|4500030185,4500030260,4500030270,4500030290,4500030291|Cost Center
JHHS-10001566-AcctsPayDSM|4500030190,4500030450|Cost Center
JHHS-S00-S31-2-S41-Exec-FinOff|4500030220,4500030251,4500030265,4500030280,4500040020,4500100060,4500150260,4800310305|Cost Center
JHHS-CASEMIX-SB2|4500030250,4500030255,4500030280|Cost Center
JHHS-Casemix RegComp|4500030250,4500030255,4500030280,4800310305|Cost Center
JHHS-Casemix RegComp|4500030250,4500030255,4500030280,4800310305|Cost Center
JHH-JHHS-4500030250,4800810013|4500030250,4800810013|Cost Center
JHH-JHHS-MGR-00310551|4500030265,4800010028,4800010029|Cost Center
JHH-JHHS-JD1,JD3|4500030290,4500150050,4500150087,4500150145,4500150188,4500210301,4500210302,4500210304,4500210308,4500210315,4500210317,4500210322,4500210402,5850020000,5850020010,5850020020,5850020050,5850020060,5850020090,5850022000,5850022006,5870010045|Cost Center
JHH-JHHS IT MTW|4500030290,4500150050,4500150087,4500150145,4500150188,4500210301,4500210302,4500210308,4500210322,5850020000,5850020010,5850020020,5850020060,5850022000,5870010045|Cost Center
JHH-JHHS IT MTW|4500030290,4500150050,4500150087,4500150145,4500150188,4500210301,4500210302,4500210308,4500210322,5850020000,5850020010,5850020020,5850020060,5850022000,5870010045|Cost Center
JHH-JHHS-JGB,S11,SIA,JK1|4500040020,4500040030,4500040031,4500040040,4500040060,4500040061,4500040062,4500040063,4500040070,4500040110,4500040200,4500040400,4500150096,4500150101,4500150102,4500150250,4500150251,4500220003,4800010304,4800830307,4800910000,4800910306,4801310060,4804610482,4805110001,4805110406,4805110408|Cost Center
MULTI-MGR-00320144|4500040020,4680010010,4680020010,4680020020,4680020030,4680020040,4680020050,4680020070,4680020080,4680030010,6750010010|Cost Center
JHCP-MGR-00036073|4500040063,4500150015,4510010010,4510010030|Cost Center
JHH-MGR-00372207|4500040070,4800910305|Cost Center
HCG-MGR-00133607|4500040200,4500100060,4500150250,4800810306,4803117403,4803117407,4803117415,4803817544,5300010010,5300010060,5300010070,5300010080,5300010090,5300010100,5300010110,5300010130,5300010150,5300010170,5300010180,5300010190,5300010200,5300010240,5300010260,5350010010,5350010050,5350010060,5350010070,5350010100,5350010160,5400010020,5400010040,5400010050,5400010060,5400010070,5400010080,5400010110,5400010120,5400010130,5400010140,5400010150,5400010160,5400010170,5400010190,5400010200,5400010230,5400010240,5400010250,5400010260,5400010350,5400010380,5400010390,5400010400,5400010410,5400010420,5400010430,5450010010,5450010060,5450010080,5450010130,5450010190,5450010230,5450010280,5450010330,5450010380,5450030010,5450030020,5450030030,5450040010,5450040030,5459999998,5470010080,5470010090,5480000000,5480000010|Cost Center
HCG-PHQ-G,K,Q,T,V Per Admins|4500040200,4500150250,4800810306,5300010010,5300010060,5300010070,5300010080,5300010090,5300010100,5300010110,5300010130,5300010150,5300010170,5300010180,5300010190,5300010200,5300010240,5300010260,5350010010,5350010050,5350010060,5350010070,5350010100,5350010160,5400010020,5400010040,5400010050,5400010060,5400010070,5400010080,5400010110,5400010120,5400010130,5400010140,5400010150,5400010160,5400010170,5400010190,5400010200,5400010230,5400010240,5400010250,5400010260,5400010350,5400010380,5400010390,5400010400,5400010410,5400010420,5400010430,5450010010,5450010060,5450010080,5450010130,5450010190,5450010230,5450010280,5450010330,5450010380,5450030010,5450030020,5450030030,5450040010,5450040030,5459999998,5470010080,5470010090,5480000000,5480000010|Cost Center
JHHS-10001703,05,60010928|4500050020,4500050030,4500050060,4500050070,4500050090,5501040415,6500002700|Cost Center
JHHS-4500050030,4500050060|4500050030,4500050060|Cost Center
JHHS-4500050030,4500050060|4500050030,4500050060|Cost Center
JHHS-60010926-EmployeeAffairs|4500050030,4500050090|Cost Center
JHHS-S91,S92|4500050030,4500080021,4500080023,4500080024,4500080026,4500080027,4530010020|Cost Center
JHHC-JHHS-MGR-00220847|4500050030,5501040410,5501040415|Cost Center
JHHS-60010929-LegalManagedCare|4500050030,5501040415|Cost Center
JHHS-4500050070,6500002700|4500050070,6500002700|Cost Center
JHHS-4500050070,6500002700|4500050070,6500002700|Cost Center
MULTI-MGR-00145725|4500050080,6500002704|Cost Center
JHHS-MGR-00273762|4500080020,4500080021,4500080023,4500080024,4500080026,4500080027,4530010010|Cost Center
JHHS-4530010010,20,4500080021|4500080021,4530010010,4530010020|Cost Center
JHHS-SH-4500080027,6004008102|4500080027,6004008102|Cost Center
MULTI-MGR-00308398|4500080027,6004008102,6004008460,6301090575,6301090821|Cost Center
JHHS-SH-4500080027,6004008691|4500080027,6004008102,6004008691|Cost Center
JHHS-4500160060,80,150|4500100060,4500160060,4500160080,4500160150,4500160250,4500160270|Cost Center
JHH-JHHS-Execs-HR|4500100060,4500160090,4800010015,5501040600|Cost Center
JHHS-4500160100,4500100060|4500100060,4500160100|Cost Center
JHHS-MGR-00193385|4500100060,4500200020,4500200030,4500200040,4500200045,4500200050,4500200055,4500200070,4500200075,4500200089,4500200090,4500200092,4500200093,4500200094,4500200096,4500200097|Cost Center
JHHS-MGR-00281680|4500100060,4500200020,4500200030,4500200040,4500200045,4500200050,4500200055,4500200070,4500200075,4500200089,4500200092,4500200093,4500200094,4500200096|Cost Center
JHHS-MGR-00281154|4500100060,4500200030,4500200040,4500200045,4500200050,4500200055,4500200075,4500200089|Cost Center
SMH-MGR-00228469|4500100060,4620010010,6301020131,6301020132,6301020133,6301020134,6301020135,6301020138,6301020140,6301020144,6301020145,6301020146,6301020149,6301020221,6301020222,6301020224,6301020227,6301020242,6301020258,6301020262,6301020271,6301020351,6301020353,6301020355,6301020356,6301020410,6301020412,6301020413,6301020414,6301020415,6301020428,6301020467,6301020503,6301020507,6301020509,6301020608,6301020642,6301020810,6301020961,6301021001,6301021136,6301030101,6301030483,6301060206,6301060341,6301060372,6301060373,6301060374,6301060375,6301060520,6301090370,6301110663,6301113716,6301113717|Cost Center
JHH-4500100060,4800010015|4500100060,4800010015|Cost Center
JHHC-1000758,3950,60007501|4500100060,5501040410,5501040415|Cost Center
JHHS-S00-EXECS-00243400|4500100060,5501040510|Cost Center
